plugin_cmf_mainmenu,"Customer Management Framework"
plugin_cmf_customerview,"Kunden"
plugin_cmf_customerautomationrules,Kunden-Automatisierungsregeln
plugin_cmf_actiontriggerrule_triggerNewActivity,Neue Kundenaktivität
plugin_cmf_actiontriggerrule_actionAddSegment,Segment hinzufügen
plugin_cmf_actiontriggerrule_actionDelay,Zeitverzögerung
plugin_cmf_actiontriggerrule_conditionCountActivities,Aktivitätenanzahl vom Typ x
plugin_cmf_actiontriggerrule_countactivities_type,Aktivitätenanzahl vom Typ
plugin_cmf_actiontriggerrule_countactivities_must_be,Bedingung
plugin_cmf_actiontriggerrule_not,nicht
plugin_cmf_actiontriggerrule_conditionSegment,Kundensegment
